ronda,llego_meta,tiempo_s,long_ruta_cm,long_optima_cm,eficiencia,colisiones,pare_reales,pare_detectados,pare_respetados,pare_falsos,dead_ends_visitados,karpinchus_rodeados
1,Si,149.3,157.1,420.0,2.67,0,3,3,0,0,0,0
1,Si,106.8,8.5,420.0,49.62,0,3,0,0,0,0,0
1,Si,109.7,32.2,420.0,13.04,0,3,1,1,0,0,0
1,Si,120.0,807.5,420.0,0.52,0,3,2,1,0,0,0
1,Si,193.9,757.2,420.0,0.55,0,3,3,3,0,0,0
1,Si,155.5,792.7,420.0,0.53,0,3,1,1,0,0,0
1,Si,171.7,805.4,420.0,0.52,0,3,2,2,0,0,0
1,Si,146.8,752.1,420.0,0.56,0,3,2,2,0,0,0
1,Si,9.0,0.8,420.0,510.41,0,3,0,0,0,0,0
1,Si,127.8,753.7,420.0,0.56,0,3,2,2,0,0,0
1,Si,119.6,818.2,420.0,0.51,0,3,2,2,0,0,0
1,Si,125.4,827.6,420.0,0.51,0,3,2,2,0,0,0
1,Si,152.1,772.3,420.0,0.54,0,3,1,1,0,0,0
1,Si,182.8,767.9,420.0,0.55,0,3,8,1,0,0,0
